n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.01,1.0,0.5,True,7,2,1,17,0.0
300,0.01,1.0,1.0,True,3,5,2,17,0.0
100,0.01,1.0,0.5,True,3,5,2,17,0.0
300,0.01,1.0,0.5,False,3,2,2,17,0.7142857142857143
500,0.01,1.0,0.5,True,7,2,2,17,0.0
500,0.01,1.0,1.0,False,7,5,1,17,0.7490079365079365
100,0.05,1.0,0.8,False,5,2,1,17,0.7490079365079365
500,0.1,1.0,0.8,False,7,5,2,17,0.47916666666666663
500,0.05,1.0,0.8,True,5,2,2,17,0.0
300,0.01,1.0,1.0,True,7,5,2,17,0.0
100,0.01,1.0,0.8,True,3,2,1,17,0.0
100,0.05,1.0,1.0,False,5,5,1,17,0.7490079365079365
100,0.1,1.0,0.5,False,7,2,1,17,0.7490079365079365
500,0.01,1.0,1.0,False,7,5,1,17,0.7490079365079365
100,0.1,1.0,0.5,False,3,5,1,17,0.7490079365079365
100,0.01,1.0,0.5,False,5,2,1,17,0.7490079365079365
300,0.05,1.0,1.0,True,7,5,1,17,0.0
300,0.1,1.0,1.0,True,5,5,2,17,0.0
100,0.01,1.0,0.8,True,5,5,2,17,0.0
500,0.01,1.0,0.8,True,5,5,2,17,0.0
